crn,coursename
20073,ACCT-1111-001
21033,ACCT-1111-791
20496,ACCT-1111-803
20497,ACCT-1111-804
20498,ACCT-1111-805
20499,ACCT-1111-809
20074,ACCT-2010-001
20075,ACCT-2010-002
20500,ACCT-2010-205
20076,ACCT-2010-209
20077,ACCT-2020-001
20078,ACCT-2020-209
20003,ANTH-1010-001
20004,ANTH-1010-801
20005,ANTH-1010-807
20972,ANTH-1010-916
20006,ANTH-2011-001
20471,ANTH-2018-802
20501,ANTH-2018-803
20502,ANTH-2018-804
20503,ANTH-2018-805
20504,ANTH-2018-809
20007,ANTH-2525-001
20079,APPR-2301-001
20983,APPR-2301-420
20080,APPR-2302-001
20081,APPR-2303-001
20082,APPR-2304-001
20083,APPR-2310-001
20084,APPR-2320-001
20085,APPR-2410-001
20086,APPR-2420-001
20008,ART-1010-001
21005,ART-1010-401
20901,ART-1010-485
20992,ART-1010-791
20505,ART-1010-803
20506,ART-1010-804
20507,ART-1010-805
20508,ART-1010-809
20869,ART-1010-849
20745,ART-1010-903
20746,ART-1010-904
20747,ART-1010-905
20748,ART-1010-909
20749,ART-1010-911
20009,ART-1110-001
20010,ART-1120-001
20011,ART-1130-001
20012,ART-1200-001
20013,ART-1200-002
20509,ART-1200-101
20014,ART-1300-001
20015,ART-1410-001
20510,ART-1410-101
20016,ART-1420-001
20017,ART-1500-001
20018,ART-1600-001
20511,ART-1600-101
20019,ART-1620-001
20020,ART-2200-001
20021,ART-2200-002
20022,ART-2330-001
20023,ART-2610-001
20024,ART-2690-001
20025,ART-2988-001
20026,ART-2988-002
20027,ART-2988-003
20028,ART-2988-004
20512,ART-2999-101
20087,AUTO-1000-001
20905,AUTO-1000-101
20815,AUTO-1000-401
20751,AUTO-1000-450
20752,AUTO-1000-453
20750,AUTO-1000-454
20753,AUTO-1400-450
20754,AUTO-1405-450
20816,AUTO-1500-401
20817,AUTO-1505-401
20088,AUTO-1550-001
20089,AUTO-1600-001
20090,AUTO-1605-001
20091,AUTO-2600-001
20092,AUTO-2605-001
20942,AUTO-2988-001
20093,BCCM-1010-001
20513,BCCM-1010-101
21080,BCCM-1010-430
20094,BCCM-1150-001
20095,BCCM-2010-001
21064,BCCM-2010-101
21103,BCCM-2010-401
20096,BCCM-2030-001
20514,BCCM-2030-101
21104,BCCM-2030-401
21081,BCCM-2030-430
20755,BCCM-2030-440
20097,BCCM-2080-001
20515,BCCM-2080-101
20948,BCCM-2080-401
21082,BCCM-2080-430
20756,BCCM-2080-440
20098,BCCM-2130-001
20819,BCCM-2130-401
21085,BCCM-2170-430
20099,BCCM-2200-001
20100,BCCM-2230-001
20943,BCCM-2977-001
20516,BCCM-2977-101
20944,BCCM-2988-001
20517,BCCM-2988-101
20757,BCCM-2988-440
20101,BCIS-0990-001
20102,BCIS-1010-001
20117,BCIS-1010-002
20121,BCIS-1010-003
20124,BCIS-1010-004
20125,BCIS-1010-005
20126,BCIS-1010-006
20612,BCIS-1010-201
20985,BCIS-1010-203
20982,BCIS-1010-204
21006,BCIS-1010-401
21007,BCIS-1010-402
21008,BCIS-1010-403
20851,BCIS-1010-791
20518,BCIS-1010-803
20519,BCIS-1010-804
20520,BCIS-1010-805
20521,BCIS-1010-809
20103,BCIS-1300-001
20492,BCIS-1310-001
20104,BCIS-1340-001
20105,BCIS-1350-001
20127,BCIS-1405-030
20758,BCIS-1405-110
20759,BCIS-1406-120
20106,BCIS-1410-001
20119,BCIS-1410-002
20760,BCIS-1410-110
20862,BCIS-1410-791
20858,BCIS-1410-803
20859,BCIS-1410-804
20860,BCIS-1410-805
20861,BCIS-1410-809
20761,BCIS-1411-120
20867,BCIS-1411-792
20863,BCIS-1411-853
20864,BCIS-1411-854
20865,BCIS-1411-855
20866,BCIS-1411-859
20107,BCIS-1900-001
20522,BCIS-1900-101
20108,BCIS-2010-001
20120,BCIS-2010-002
20122,BCIS-2010-003
20921,BCIS-2010-791
20523,BCIS-2010-803
20918,BCIS-2010-804
20919,BCIS-2010-805
20920,BCIS-2010-809
20922,BCIS-2010-B45
20109,BCIS-2210-001
20110,BCIS-2330-001
20111,BCIS-2420-001
20112,BCIS-2441-001
20114,BCIS-2610-001
20115,BCIS-2612-001
20913,BCIS-2930-791
20524,BCIS-2930-803
20910,BCIS-2930-804
20911,BCIS-2930-805
20912,BCIS-2930-809
21115,BCIS-2977-001
20525,BCIS-2977-101
20526,BCIS-2988-101
20029,BIOL-1010-001
